score	text
31441	As I handed my Dad his 50th birthday card, he looked at me with tears in his eyes and said, "You know, one would have been enough."
20992	I saw my wife, slightly drunk, yelling at the TV: "Don't go in there! Don't go in the church, you moron!" She is watching our wedding video again.
20667	I told my daughter, "Go to bed, the cows are sleeping in the field." She said, "What's that got to do with anything?" I said "That means it's pasture bedtime."
20523	My wife screamed "you haven't listened to a single word I've said, have you?!" What a weird way to start a conversation..
19606	Wife: I'm pregnant Dad: Hi pregnant, i'm Dad Wife: No you're not
19243	My wife accused me of hating her family and relatives... I replied, "No, I don't hate your relatives. In fact, I like your mother-in-law a lot better than I like mine."
18297	I just called GameStop Customer Service... They asked me to please Hold. 💎🤲
17902	I did it! I told a dad joke that my wife AND preteen daughter laughed at! Daughter: the dog has a piece of confetti stuck to his butt. Me: that's because he's a party pooper!
17547	My wife has this weird OCD where she arranges the dinner plates by the year they were bought. It's an extremely rare dish order.
17247	My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right.
17110	I met my boyfriend while visiting the zoo. There he was, in his uniform... straightaway I knew he was a keeper
16849	Today, my son asked "Can I have a book mark?" and I burst into tears. 11 years old and he still doesn't know my name is Brian.
16705	For the 10th year in a row, my coworkers voted me "the most secretive guy" in the office. I can't tell you how much this award means to me.
16691	My deaf girlfriend just told me "I think we need to talk." That's not a good sign.
16618	Asked My Date To Meet Me At The Gym, But She Never Showed Up... Guess the two of us aren't going to work out
16490	My wife traumatically ripped the blankets off me last night. But I will recover.
16404	Nothing's better than being 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, or 97 years old Those are the years you're in your prime
16176	Was watching Star Wars with my daughter. She asked why Luke was climbing inside a Tauntaun, I said to keep warm. She asked how warm is it inside. I replied Lukewarm.
15906	I started a nightclub for men with erectile dysfunction. It was a total flop.......and nobody came
15849	What has two butts and kills people? An assassin
15769	A storm blew away 25% of my roof last night oof
15498	3 unwritten rules of life... 1. 2. 3.
15429	I remember asking my dad repeatedly what the acronym LGBTQ meant. I never got a straight answer.
15379	Boss: "How good are you at PowerPoint?" - Me: "I Excel at it." - Boss: "Was that a Microsoft Office pun?" Me: "Word"
15316	Ladies, if he can't appreciate your fruit jokes... You need to let that mango.
15296	8yo nephew's an early bloomer. Gets home, tells his dad, "There was a kidnaping at school today." Dad: "What!?!" 8yo, dead serious, - "It's okay, dad. He woke up." Doesn't even smile. Walks away.
15218	My wife kicked me out because of my terrible Arnold Schwarzenegger impressions. But don't worry, I'll return.
15093	If H2O is Water and H2O2 is Hydrogen Peroxide, What is H2O4? Drinking
14689	My daughter screeched, "Daaaaaad, you haven't listened to one word I've said, have you!?" What a strange way to start a conversation with me...
14620	I struggle with Roman Numerals until I get to 159. Then it just CLIX.
14341	My friend keeps saying "cheer up man it could be worse, you could be stuck underground in a hole full of water" I know he means well
14292	I have a russian friend who's a sound engineer. And a Czech one too, and a Czech one too.
14256	Genie: What is your final wish? Boy: I wish I were you. Genue: weurd but alrught.
14237	My wife screamed in pain during labor so I asked, "What's wrong?". She screamed. "These contractions are going to kill me!!" "I am sorry, honey," I replied. "What is wrong?"
14212	On his deathbed, my grandfather said, "Remember these two words. It'll open a lot of doors for you in life." Push and Pull.
14175	I told my 3yr old daughter "I'm tired." "Oh. I thought you were daddy!" I've never been so proud.
14169	Do you know what the opposite of ladyfingers is? Mentos.
14130	I just saw a cashier scan the eyes of a rude customer with her barcode reader. The look on his face was priceless.
13891	For me, the urge to sing "The Lion Sleeps Tonight" is always just a whim away... **a whim away, a whim away, a whim away, a whim away**
