Jenny_Holzer	work-money	quip	general	0	A lot of professionals are crackpots.
Jenny_Holzer	life	uplifting	general	0	A positive attitude means all the difference in the world.
Jenny_Holzer	life	aphorism	general	0	A sense of timing is the mark of a genius.
Jenny_Holzer	society	wisdom	general	0	Alienation produces eccentrics or revolutionary.
Jenny_Holzer	society	aphorism	general	0	An elite is inevitable.
Jenny_Holzer	life	wisdom	general	0	At times inactivity is preferable to mindless functioning.
Jenny_Holzer	life	wisdom	general	0	BY YOUR RESPONSE TO DANGER IT IS EASY TO TELL HOW YOU HAVE LIVED AND WHAT HAS BEEN DONE TO YOU. YOU SHOW WHETHER YOU WANT TO STAY ALIVE, WHETHER YOU THINK YOU DESERVE TO, AND WHETHER YOU BELIEVE IT'S ANY GOOD TO ACT.
Jenny_Holzer	life	observation	general	0	Being alone with yourself is increasingly unpopular.
Jenny_Holzer	life	uplifting	general	0	Being happy is more important than anything else.
Jenny_Holzer	life	observation	general	0	Boredom makes you do crazy things.
Jenny_Holzer	society	wisdom	general	0	Deviants are sacrificed to increase group solidarity.
Jenny_Holzer	life	dark	general	0	Enjoy yourself because you can't change anything anyway.
Jenny_Holzer	life	wisdom	general	0	Expressing anger is necessary.
Jenny_Holzer	life	observation	general	0	FEW CAN IGNORE A BABY'S CRIES, EVEN IF THE RESPONSE IS IRRITATION. THIS IS ONE OF THE BUILT IN SAFEGUARDS THAT IS SUPPOSED TO GUARANTEE THE SURVIVAL OF THE RACE.
Jenny_Holzer	life	aphorism	general	0	Faithfulness is a social not a biological law.
Jenny_Holzer	life	wisdom	general	0	Fear is the greatest incapacitator.
Jenny_Holzer	life	wisdom	general	0	Go where people sleep and see if they are safe
Jenny_Holzer	life	wisdom	general	0	Going with the flow is soothing but risky.
Jenny_Holzer	life	observation	general	0	HOW CONCISE THAT YOU CAN CRY FROM AWFUL WOUNDS, DESERTION, HAPPINESS, MEMORIES, HUMILIATION, DISAPPOINTMENT OR GRANDEUR.
Jenny_Holzer	life	quip	general	0	HOW DO YOU FIND THE RIGHT POSITION TO LIE DOWN WITH PEOPLE OR EVEN ANIMALS? OFTEN ONE OF THE PARTNERS IS SMOTHERED OR CONTORTED. WHEN DONE PROPERLY, THOUGH, EVERYONE IS HAPPY.
Jenny_Holzer	life	quip	general	0	Hands on your breast can keep your heart beating.
Jenny_Holzer	life	wisdom	general	0	How do you resign yourself to something that will never be? You stop wanting just that thing. You go numb. Or you kill the agent of desire.
Jenny_Holzer	life	quip	general	0	I KNOW WHO YOU ARE AND IT DOES ME NO GOOD AT ALL
Jenny_Holzer	life	observation	general	0	I SAW THEIR STUNNING BODIES GO SLACK AND GET HAIR IN THE WRONG PLACES AND I VOWED I WOULD NOT PERMIT THAT TO HAPPEN TO ME.
Jenny_Holzer	life	quip	general	0	I try to excite myself so I stay crazy.
Jenny_Holzer	life	observation	general	0	IF THE HOUSE IS BITTER COLD, ALL THE FLUIDS THEREIN, IF NOT FROZEN, ARE STIFF AND SLOW.
Jenny_Holzer	life	quip	general	0	IT CAN BE HELPFUL TO THINK OF THEM EATING YOUR FAVORITE FOODS AND OCCASIONALLY THROWING UP AND GETTING BITS STUCK IN THEIR NOSES.
Jenny_Holzer	life	observation	general	0	IT CAN BE STARTLING TO SEE SOMEONES BREATH, LET ALONE THE BREATHING OF A CROWD. YOU USUALLY DONT BELIEVE THAT PEOPLE EXTEND THAT FAR.
